TRAVELID,hpzl,sj,laneid,longitude,latitude,angle,speed,turn,posm,ftnode
f0851c79501e119a52f3f56c722fac74,2,2019-07-01 09:34:30,3,118.76309730094526,30.945438218815468,4.71492049124666,35.6040672107282,S,349.260634767988,4724_4863
f0851c79501e119a52f3f56c722fac74,2,2019-07-01 09:35:00,4,118.76347364888703,30.948089030062835,5.04470980643613,35.6040672107282,S,52.5600746785868,4724_4863
f0851c79501e119a52f3f56c722fac74,2,2019-07-01 09:39:00,2,118.76325984174406,30.947926348675736,184.702579836213,34.107245421453,S,469.340567768163,4863_4724
f0851c79501e119a52f3f56c722fac74,2,2019-07-01 09:39:30,2,118.76265698071654,30.9454083599755,184.702994826697,34.107245421453,S,185.113522589388,4863_4724
a0d77552dd34db5528d16779061dfb76,2,2019-07-01 09:17:30,4,118.76334603432284,30.948563869911414,3.26485731674164,0.0,S,1.0,4724_4863
975722072385b3e6e7fa63de6a10606a,2,2019-07-01 08:26:30,358,118.76305841027549,30.94842887830768,166.781578260909,12.644540726145,R,4.51237242392921,4854_4863
975722072385b3e6e7fa63de6a10606a,2,2019-07-01 08:27:00,2,118.7628132800121,30.94647269548655,184.702759438596,27.3357046304502,S,304.357046304502,4863_4724
975722072385b3e6e7fa63de6a10606a,2,2019-07-01 08:27:30,2,118.76273281101373,30.944421809344934,184.698786622535,27.3357046304502,S,76.5595077174171,4863_4724
975722072385b3e6e7fa63de6a10606a,2,2019-07-01 08:34:00,3,118.76290923426092,30.94545970187094,4.71492049124666,31.283961920954,S,348.599576899489,4724_4863
975722072385b3e6e7fa63de6a10606a,2,2019-07-01 08:34:30,1187632933094761230,118.76332942527158,30.947782218070433,5.73415542446645,31.283961920954,S,87.8998942248721,4724_4863
3beaecfae3df014eed1e80a98fe1c88e,2,2019-07-01 08:37:00,3,118.7632855909046,30.94671329620275,4.70261734596919,35.3347582259065,S,206.401222740454,4724_4863
3beaecfae3df014eed1e80a98fe1c88e,2,2019-07-01 08:37:30,4,118.76357881873827,30.948496523548744,3.26485731674164,0.0,S,7.0,4724_4863
3beaecfae3df014eed1e80a98fe1c88e,2,2019-07-01 08:38:00,4,118.76340257838675,30.948506577049915,3.26485731674164,0.0,S,7.0,4724_4863
85032937982a93c47a5a1fe043fb587b,2,2019-07-01 08:25:30,2,118.76329218204383,30.94684539790669,4.70263718407424,38.1095536127985,S,191.547768063992,4724_4863
2c17f54c92afb22dc6ed62216f74e079,2,2019-07-01 09:23:00,3,118.76329868847898,30.94814946842291,184.660774846854,26.1308616859571,R,494.582942956967,4863_4724
2c17f54c92afb22dc6ed62216f74e079,2,2019-07-01 09:23:30,3,118.76295265585031,30.94621068377262,184.696538225534,26.1308616859571,R,276.825762240658,4863_4724
3dfa05a48b36ee91338448f686ee989f,2,2019-07-01 09:02:30,3,118.76290298302354,30.94621008103337,184.696538225534,8.39920554191477,R,276.307292762762,4863_4724
3dfa05a48b36ee91338448f686ee989f,2,2019-07-01 09:00:30,1187633473094871430,118.76328617783959,30.948765476679636,234.201389952012,8.39920554191477,R,561.347565766375,4863_4724
3dfa05a48b36ee91338448f686ee989f,2,2019-07-01 09:01:00,3,118.76324132980987,30.94807921294229,184.660774846854,8.39920554191477,R,486.287431310631,4863_4724
3dfa05a48b36ee91338448f686ee989f,2,2019-07-01 09:01:30,3,118.76295780728236,30.94747009115168,184.660774846854,8.39920554191477,R,416.294051794675,4863_4724
3dfa05a48b36ee91338448f686ee989f,2,2019-07-01 09:02:00,3,118.76306708312663,30.946828946089084,184.660774846854,8.39920554191477,R,346.300672278718,4863_4724
3dfa05a48b36ee91338448f686ee989f,2,2019-07-01 09:03:00,3,118.76273361225056,30.945591716032354,184.697157366403,8.39920554191477,R,206.313913246805,4863_4724
3dfa05a48b36ee91338448f686ee989f,2,2019-07-01 09:03:30,3,118.76268832267047,30.94496315472092,184.697157366403,8.39920554191477,R,136.320533730849,4863_4724
9987a9bf28fa237eeeadc9f55a0b0efc,2,2019-07-01 08:19:30,3,118.76306188988634,30.948200953036064,184.660774846854,34.3978721546077,S,498.145451741183,4863_4724
9987a9bf28fa237eeeadc9f55a0b0efc,2,2019-07-01 08:20:00,3,118.76278336692322,30.945631849491427,184.697157366403,34.3978721546077,S,211.209218722603,4863_4724
7d6fb2174d202071193bbf5e07d8385d,2,2019-07-01 08:16:30,4,118.76344956170843,30.948470165875143,3.26485731674164,35.0756118442856,S,10.7432255123015,4724_4863
7d6fb2174d202071193bbf5e07d8385d,2,2019-07-01 08:16:00,1187630333094586330,118.7629551183082,30.94588468457551,4.21985172783553,35.0756118442856,S,301.061193183839,4724_4863
7d6fb2174d202071193bbf5e07d8385d,2,2019-07-01 08:17:00,4,118.76351400971957,30.94855428787851,3.26485731674164,0.0,S,1.0,4724_4863
f7a0d6e4120a51d085b89024b6f977be,2,2019-07-01 09:36:00,2,118.76282306910892,30.94451393799833,4.70307139056768,35.4450136305393,L,453.908507501336,4724_4863
f7a0d6e4120a51d085b89024b6f977be,2,2019-07-01 09:36:30,2,118.7632947280002,30.947143425676195,4.70263718407424,35.4450136305393,L,158.533393913508,4724_4863
f7a0d6e4120a51d085b89024b6f977be,2,2019-07-01 09:37:00,2,118.76348387400748,30.948553924936252,3.42376994137151,0.0,L,1.0,4724_4863
f7a0d6e4120a51d085b89024b6f977be,2,2019-07-01 09:37:30,1,118.76292455066188,30.948827282175227,270.836956412642,35.5644680695767,S,317.128605062904,4863_4854
053541e2710552310a04144906244cf9,2,2019-07-01 08:55:00,3,118.7630774454173,30.94654986693407,184.660774846854,5.45638104218726,S,315.498008026336,4863_4724
053541e2710552310a04144906244cf9,2,2019-07-01 08:52:30,3,118.76320974151609,30.948554473981044,183.869865499104,5.45638104218726,S,538.621277998676,4863_4724
053541e2710552310a04144906244cf9,2,2019-07-01 08:53:00,3,118.7630597607888,30.94815601667169,184.660774846854,5.45638104218726,S,493.151435980449,4863_4724
053541e2710552310a04144906244cf9,2,2019-07-01 08:53:30,3,118.76313259580407,30.94773935877704,184.660774846854,5.45638104218726,S,447.681593962222,4863_4724
053541e2710552310a04144906244cf9,2,2019-07-01 08:54:00,3,118.76302041934501,30.947337784050227,184.660774846854,5.45638104218726,S,402.211751943995,4863_4724
